Name,Type,Description,Price,Category
Premium Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",1246.15,Clothing
Luxury Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",448.22,Food
Eco Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1433.04,Electronics
Classic Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",229.23,Sports
Premium Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",342.29,Beauty
Premium Table,Table,"A Table in the Home category, designed for quality and everyday use.",468.18,Home
Modern Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",846.16,Clothing
Classic Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",277.96,Electronics
Eco Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1371.77,Electronics
Classic Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1335.57,Electronics
Modern Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",896.34,Food
Eco Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",1065.8,Food
Eco Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",1047.82,Home
Eco Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",678.32,Home
Eco Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",508.75,Beauty
Classic Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",1292.44,Beauty
Premium Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1006.09,Electronics
Modern Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",1127.42,Books
Modern Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",679.14,Toys
Luxury Football,Football,"A Football in the Sports category, designed for quality and everyday use.",1165.71,Sports
Modern T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",1006.53,Clothing
Luxury Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",356.7,Home
Eco T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",1478.14,Clothing
Premium Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",638.89,Food
Modern Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",931.72,Clothing
Modern Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",1224.12,Clothing
Classic Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",145.5,Beauty
Eco Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",632.26,Toys
Luxury Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",1329.98,Sports
Modern Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",740.45,Home
Luxury Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",954.84,Food
Premium Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",302.03,Books
Premium T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",1255.58,Clothing
Classic Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",310.2,Sports
Classic Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",842.77,Books
Eco Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1498.66,Electronics
Classic Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",1123.81,Sports
Classic Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",36.69,Sports
Modern Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",753.77,Sports
Modern Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",902.39,Clothing
Eco Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",250.19,Toys
Eco Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",1176.94,Toys
Eco Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",107.17,Beauty
Luxury Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",54.7,Books
Eco T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",211.33,Clothing
Eco Football,Football,"A Football in the Sports category, designed for quality and everyday use.",1134.34,Sports
Luxury Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",297.59,Beauty
Modern Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",1089.98,Electronics
Premium Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",1171.19,Home
Luxury Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",490.84,Clothing
Luxury Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",647.97,Home
Luxury Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",1248.39,Home
Modern Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",606.35,Electronics
Luxury Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",1381.03,Electronics
Premium Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",265.95,Food
Classic Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",381.57,Toys
Luxury Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",1402.54,Clothing
Classic Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",514.35,Electronics
Premium Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",1488.58,Books
Premium Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",645.75,Books
Modern Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",1124.53,Toys
Modern Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",1487.1,Toys
Classic Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",1243.2,Beauty
Classic Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",458.56,Toys
Classic Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",565.77,Food
Modern Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",485.74,Home
Premium Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",1014.51,Toys
Luxury Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",1104.07,Beauty
Eco Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",701.32,Toys
Premium Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",588.66,Beauty
Modern Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",179.38,Electronics
Eco Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",489.41,Books
Premium Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",662.95,Sports
Classic Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",639.02,Electronics
Luxury Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",12.5,Food
Modern Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",774.76,Food
Classic Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",322.68,Books
Premium Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",1438.28,Food
Luxury Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",599.91,Home
Premium T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",883.63,Clothing
Modern Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",135.15,Books
Classic Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",1292.54,Toys
Modern Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",1332.69,Beauty
Luxury Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",1482.48,Beauty
Modern Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",417.04,Food
Luxury Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",954.64,Beauty
Premium Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",815.89,Clothing
Classic Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1360.25,Food
Premium Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",202.85,Books
Classic Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",621.76,Beauty
Premium Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",113.69,Toys
Eco Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",1070.99,Electronics
Modern Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",612.54,Books
Modern Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",286.74,Electronics
Modern Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",106.11,Home
Eco Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",267.48,Clothing
Eco Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",1069.79,Beauty
Classic Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",855.46,Electronics
Premium T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",1206.6,Clothing
Premium Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",1158.78,Beauty
Premium Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",1357.23,Home
Premium Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",90.54,Books
Luxury Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",1358.14,Books
Classic Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",1005.58,Toys
Eco Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",770.08,Sports
Premium Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",848.44,Beauty
Premium Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",438.9,Toys
Luxury Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",990.08,Beauty
Eco Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",970.39,Electronics
Luxury Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",963.18,Home
Classic Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",1395.55,Electronics
Premium Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",573.77,Home
Eco Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",1051.05,Books
Luxury Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",612.14,Home
Classic Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",1316.16,Toys
Luxury Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",606.88,Home
Luxury Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",1240.72,Books
Classic Table,Table,"A Table in the Home category, designed for quality and everyday use.",300.4,Home
Eco Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",350.03,Home
Classic Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",628.69,Sports
Eco Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",837.01,Toys
Luxury Table,Table,"A Table in the Home category, designed for quality and everyday use.",806.38,Home
Luxury Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1189.98,Electronics
Eco Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",940.3,Home
Modern Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",12.07,Clothing
Premium Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",1088.97,Food
Premium T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",1066.27,Clothing
Luxury Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",8.39,Toys
Modern Football,Football,"A Football in the Sports category, designed for quality and everyday use.",1259.86,Sports
Luxury Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",95.31,Electronics
Luxury Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",505.09,Sports
Premium Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",506.52,Beauty
Luxury Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",759.85,Food
Eco Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",430.87,Beauty
Luxury Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",1456.41,Food
Luxury Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",217.8,Food
Classic Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",1324.64,Toys
Classic Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",124.23,Beauty
Eco Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",1379.42,Beauty
Classic Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",1429.77,Toys
Modern Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",1106.65,Home
Premium Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",559.94,Beauty
Premium Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",795.78,Toys
Premium Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",106.67,Electronics
Luxury Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",1092.34,Beauty
Classic Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",1018.43,Beauty
Modern Table,Table,"A Table in the Home category, designed for quality and everyday use.",1370.13,Home
Premium Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",346.68,Electronics
Luxury Table,Table,"A Table in the Home category, designed for quality and everyday use.",8.04,Home
Classic Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",383.17,Toys
Classic Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",720.36,Toys
Premium Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",344.6,Home
Eco Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",1088.37,Toys
Luxury Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",796.73,Beauty
Luxury Football,Football,"A Football in the Sports category, designed for quality and everyday use.",246.26,Sports
Premium Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1411.77,Electronics
Eco Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",600.33,Electronics
Premium T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",19.09,Clothing
Premium Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",42.72,Beauty
Classic Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",101.48,Beauty
Premium Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",1008.56,Beauty
Eco Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",964.44,Beauty
Classic Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",1183.08,Electronics
Classic Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",69.39,Electronics
Premium Football,Football,"A Football in the Sports category, designed for quality and everyday use.",110.44,Sports
Eco Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",266.69,Clothing
Modern Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",900.1,Clothing
Classic Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",758.89,Electronics
Premium Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",46.4,Clothing
Modern Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",1472.27,Books
Classic Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",301.17,Books
Classic Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",1006.43,Food
Premium Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",473.41,Sports
Premium Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",593.4,Food
Classic Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",1072.61,Toys
Luxury Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",349.38,Food
Modern Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",1318.41,Toys
Modern Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",1103.41,Books
Classic Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",63.92,Food
Premium Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",82.75,Electronics
Classic Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",659.73,Electronics
Classic Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",315.99,Toys
Premium Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",1220.2,Home
Luxury Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",1027.82,Toys
Classic Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",1482.46,Beauty
Classic Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",104.47,Clothing
Modern Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",1206.75,Sports
Premium Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",630.39,Electronics
Eco Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",35.66,Electronics
Modern Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",963.4,Sports
Eco Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",873.76,Food
Modern Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",1193.72,Books
Luxury Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",1428.91,Electronics
Luxury Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",319.81,Home
Eco Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",232.21,Electronics
Modern Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",1044.09,Toys
Luxury Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",1312.39,Clothing
Classic Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",603.62,Beauty
Luxury Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",1429.41,Sports
Classic Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",382.75,Sports
Premium Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",1252.05,Books
Modern Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",1174.77,Toys
Classic Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",1226.77,Sports
Eco Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",258.58,Beauty
Luxury Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",287.74,Sports
Modern Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",849.21,Food
Eco Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",1276.11,Clothing
Luxury Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",891.97,Beauty
Classic Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",1260.01,Books
Modern Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",1344.69,Food
Modern Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",1278.33,Home
Premium Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",120.17,Toys
Premium Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",1497.48,Beauty
Modern Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",861.08,Beauty
Premium Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1425.21,Food
Eco Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",642.78,Toys
Premium Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",737.07,Clothing
Modern Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1029.08,Electronics
Modern Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",845.52,Beauty
Luxury Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",648.51,Home
Premium Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",563.63,Sports
Luxury Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",1275.44,Sports
Eco Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",355.2,Clothing
Luxury Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",1469.99,Food
Luxury Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",528.6,Home
Luxury Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",440.09,Food
Modern Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",107.08,Home
Modern Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",311.42,Food
Luxury Football,Football,"A Football in the Sports category, designed for quality and everyday use.",881.96,Sports
Luxury Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",960.6,Food
Modern Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",1221.53,Books
Eco Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",1079.27,Clothing
Modern Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",1226.29,Home
Premium Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",763.9,Beauty
Classic Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",478.15,Food
Luxury Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",633.98,Food
Classic Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",870.58,Beauty
Premium Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",732.86,Books
Premium Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",207.22,Clothing
Modern Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1399.38,Food
Classic Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",1167.29,Toys
Eco Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",736.93,Beauty
Modern Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",149.46,Sports
Eco Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",144.37,Clothing
Luxury Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",860.93,Sports
Classic Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",841.02,Clothing
Modern Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",229.31,Clothing
Classic Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1001.78,Electronics
Eco T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",488.7,Clothing
Eco Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",879.27,Food
Luxury Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",566.89,Sports
Premium Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",1108.36,Beauty
Eco Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",1336.18,Toys
Eco Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",21.78,Home
Premium Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",200.74,Books
Eco Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",320.77,Toys
Eco Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",1460.17,Clothing
Classic Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",1081.99,Clothing
Classic Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",523.96,Clothing
Luxury Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",300.8,Toys
Classic Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",967.32,Books
Eco Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",111.75,Toys
Premium Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",1446.69,Books
Classic Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",1363.16,Beauty
Classic Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",882.73,Books
Luxury T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",27.03,Clothing
Premium Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",182.76,Home
Modern Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",601.01,Home
Modern Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",1233.88,Sports
Classic Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",666.36,Beauty
Classic Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",1360.1,Toys
Classic Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",1335.62,Sports
Eco Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",36.74,Clothing
Modern Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",926.9,Home
Classic Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",62.91,Books
Classic Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",401.33,Electronics
Luxury Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",67.85,Toys
Modern Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",1171.47,Beauty
Premium Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1424.67,Food
Modern Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",502.16,Electronics
Eco Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",493.2,Food
Eco Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",952.42,Sports
Premium Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",1283.76,Electronics
Luxury Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",194.44,Home
Classic Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",243.09,Books
Premium Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",137.64,Clothing
Eco Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",731.23,Books
Premium Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",1024.26,Books
Premium Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",194.03,Food
Classic Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1260.28,Electronics
Modern Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",434.5,Food
